,accuracy_knn,accuracy_knn_pca,kappa
0,0.994131455399061,0.9917840375586855,0.6649955765260985
1,0.9978947368421053,0.9957894736842106,0.6660808435852372
2,0.9637952559300874,0.9725343320848939,0.7800823661549982
3,0.9705215419501134,0.9659863945578231,0.6179534250531136
4,0.967940813810111,0.967940813810111,0.6454730911210413
5,0.9665327978580991,0.965194109772423,0.6994528190547717
6,0.9903730445246691,0.9939831528279182,0.6909344490934448
7,0.9796380090497737,0.9807692307692307,0.5658863971190047
8,0.9364089775561097,0.9600997506234414,0.6402474864655839
9,0.955952380952381,0.9595238095238096,0.7400364499157526
