step,state,score,best
0,98,0.9414523809523809,False
1,98,0.9414523809523809,False
2,100,0.9408095238095238,True
3,73,0.946595238095238,True
4,44,0.9535,True
5,24,0.9598571428571429,True
6,1,0.9656190476190476,True
7,6,0.9688809523809524,False
8,1,0.9656190476190476,False
9,15,0.9641904761904762,False
10,11,0.9669761904761904,True
11,4,0.9690238095238095,False
12,1,0.9656190476190476,False
13,10,0.9678333333333333,False
14,1,0.9656190476190476,False
15,7,0.9683095238095238,False
16,12,0.9662619047619048,False
17,19,0.9623095238095238,False
18,6,0.9688809523809524,False
19,4,0.9690238095238095,False
20,4,0.9656190476190476,False
21,1,0.9656190476190476,False
22,4,0.9690238095238095,False
23,2,0.9656190476190476,False
24,1,0.9656190476190476,False
25,2,0.9656190476190476,False
