label,K,sample_size,accuracy,recall,precision,f1
kNN_distance_pow,2,500,0.8,0.8000024087040286,0.8105632459318619,0.7952787321553628
kNN_distance_pow,2,1000,0.844,0.8431119909531712,0.8487665673122771,0.8402529877432581
kNN_distance_pow,2,2500,0.8976,0.896252694206741,0.9001544575007174,0.8956052967735442
kNN_distance_pow,2,5000,0.9198,0.9186314583225899,0.9210821237415945,0.9185862573303544
kNN_distance_pow,2,8000,0.93425,0.9334178333120715,0.9361601444948816,0.9340046579857202
kNN_distance_pow,2,10000,0.9432,0.9425145874891478,0.9442333074332995,0.942852227785637
kNN_distance_pow,2,25000,0.95748,0.9569124422979938,0.9581497204444491,0.9572338340816728
kNN_distance_pow,2,42000,0.9639047619047618,0.9633940385913553,0.9644203266136964,0.9637091592092332
kNN_distance_pow,4,500,0.8059999999999999,0.8125560815818169,0.8057624177293294,0.7989599354683308
kNN_distance_pow,4,1000,0.861,0.8583826779841426,0.8646328665224244,0.8563919883391929
kNN_distance_pow,4,2500,0.9124,0.9110921797488364,0.9136235382034624,0.9103378260250714
kNN_distance_pow,4,5000,0.931,0.9300220280381325,0.9317068408705197,0.9297634565112713
kNN_distance_pow,4,8000,0.94225,0.9414699857033015,0.9435285412946914,0.9418625454203026
kNN_distance_pow,4,10000,0.9515,0.9509603115965674,0.9521755163142672,0.9511198360317484
kNN_distance_pow,4,25000,0.96336,0.9629028675335944,0.9637502837161482,0.9631259159767988
kNN_distance_pow,4,42000,0.9690238095238095,0.9685860466054997,0.9695023959751365,0.9688830640018099
kNN_distance_pow,6,500,0.8152610441767069,0.8231325618825619,0.8267921661671662,0.8081307577950573
kNN_distance_pow,6,1000,0.8684738955823293,0.8636977178806496,0.870586107043672,0.8603662764666248
kNN_distance_pow,6,2500,0.9174679487179487,0.9147891344093242,0.9190973602828771,0.9144468017578274
kNN_distance_pow,6,5000,0.9359743897559023,0.9348578805876875,0.9365089891478825,0.9346052343739508
kNN_distance_pow,6,8000,0.9448612153038259,0.9442387368295262,0.9459689813615407,0.9444139720534461
kNN_distance_pow,6,10000,0.9543817527010805,0.9536848721538933,0.9549879337576356,0.9539117334603036
kNN_distance_pow,6,25000,0.9645143222915666,0.9640486800133938,0.964856635415078,0.9642625905322486
kNN_distance_pow,6,42000,0.9706666666666667,0.97024985015083,0.971025298061375,0.9704988293271205
kNN_distance_pow,8,500,0.8205645161290323,0.8290865731490732,0.8304521520146521,0.8084216507177033
kNN_distance_pow,8,1000,0.869,0.8680786237863444,0.8706964775313266,0.86336268907218
kNN_distance_pow,8,2500,0.9162660256410257,0.9143252369599858,0.9186037634650187,0.9135339008715037
kNN_distance_pow,8,5000,0.9362,0.9357943330189418,0.9366366882021329,0.9349934305882497
kNN_distance_pow,8,8000,0.946125,0.9452906505750192,0.9472594324425986,0.9455928238807156
kNN_distance_pow,8,10000,0.9541000000000001,0.9536789081615322,0.9549709178516105,0.9537922356038763
kNN_distance_pow,8,25000,0.96476,0.9643251720501999,0.965102982701715,0.9645150875909877
kNN_distance_pow,8,42000,0.9707142857142858,0.9702993403572007,0.9710789043183837,0.9705377825282742
kNN_distance_pow,10,500,0.8180000000000001,0.8155992063492064,0.829229797979798,0.797626778237392
kNN_distance_pow,10,1000,0.868,0.8657280138162491,0.8713060762766645,0.8607209405521878
kNN_distance_pow,10,2500,0.9176,0.9142550508141986,0.9187963885879246,0.9138973857199038
kNN_distance_pow,10,5000,0.9359999999999999,0.9349701664339373,0.9366346790201799,0.9346064268545835
kNN_distance_pow,10,8000,0.947125,0.9463200162217469,0.9482332039588834,0.9465492181484797
kNN_distance_pow,10,10000,0.9549,0.9541563725605502,0.9558749999121806,0.9545103108608489
kNN_distance_pow,10,25000,0.96468,0.9642668094837888,0.9650584254640976,0.9644304947172175
kNN_distance_pow,10,42000,0.971452380952381,0.9710138197084305,0.9718410516648418,0.9712814034826546
kNN_distance_pow,20,500,0.828,0.8329031084656084,0.8442962962962963,0.7837970864012531
kNN_distance_pow,20,1000,0.868,0.8672361111111111,0.8695395021645022,0.8537571707263287
kNN_distance_pow,20,2500,0.9164,0.9144533336460581,0.9185872877841935,0.9125309672042842
kNN_distance_pow,20,5000,0.9376,0.93695574014831,0.9385203138722397,0.9359833711832797
kNN_distance_pow,20,8000,0.94875,0.9482210976457983,0.9498454290281453,0.9479851363029818
kNN_distance_pow,20,10000,0.9558,0.9549218229029975,0.9570613000336582,0.9552481981242577
kNN_distance_pow,20,25000,0.96592,0.9655298895877151,0.9663110878204233,0.9656435771967745
kNN_distance_pow,20,42000,0.9719285714285715,0.9714587478956441,0.972290185914682,0.9716976178397586
