k,weight_type,accuracy,recall,precision,f1
1,uniform,0.9656190476190476,0.9651532971721579,0.9659558794900923,0.9654134530109189
1,distance,0.9656190476190476,0.9651532971721579,0.9659558794900923,0.9654134530109189
1,distance_pow,0.9656190476190476,0.9651532971721579,0.9659558794900923,0.9654134530109189
2,uniform,0.9581428571428572,0.9573439512006237,0.9590682291785648,0.9576591581644673
2,distance,0.9656190476190476,0.9651532971721579,0.9659558794900923,0.9654134530109189
2,distance_pow,0.9656190476190476,0.9651532971721579,0.9659558794900923,0.9654134530109189
4,uniform,0.9644047619047619,0.963807906962085,0.9650836941137173,0.9641754991854732
4,distance,0.968547619047619,0.9680996232100969,0.9690426768912028,0.9684014610269216
4,distance_pow,0.9690238095238095,0.9685860466054997,0.9695023959751365,0.9688830640018099
6,uniform,0.9640714285714286,0.9634867668642613,0.9649474180479636,0.963930323579507
6,distance,0.9675952380952381,0.9671212535514746,0.9682468897555581,0.9674842094536469
6,distance_pow,0.9688809523809524,0.9684239788418489,0.9694720114459529,0.9687719009634936
8,uniform,0.9630714285714286,0.9624925168854265,0.9640309972201285,0.9629518644160094
8,distance,0.9660714285714286,0.9655970170934933,0.9668596517316126,0.9659926123494292
8,distance_pow,0.9681904761904763,0.9677325154656448,0.9688968195070056,0.9681142277803135
10,uniform,0.9619285714285715,0.9613442544598861,0.9630739428263859,0.9618550518696878
10,distance,0.9649047619047619,0.964397903471663,0.9658669279230485,0.964850421774665
10,distance_pow,0.9678333333333333,0.9673530674359215,0.9686002392172736,0.9677591694634785
20,uniform,0.9541904761904763,0.9534992287243149,0.9558662866636807,0.9541246463963169
20,distance,0.9568809523809524,0.9562410933621102,0.9583767375672181,0.9568304706221386
20,distance_pow,0.9617380952380953,0.9611783946277282,0.9628952621782602,0.9616806098871844
30,uniform,0.9486428571428571,0.9478878249003577,0.9509314391472669,0.9486593898227209
30,distance,0.9519285714285715,0.9512336878287186,0.9538631817599463,0.9519212642327328
30,distance_pow,0.9576428571428571,0.9570236615680878,0.9591906091162374,0.9576286315610607
40,uniform,0.9442857142857143,0.9434722087082548,0.9470385403577659,0.9443256221500698
40,distance,0.9469285714285715,0.9461526512614575,0.9494534508271835,0.9469537076759827
40,distance_pow,0.9545238095238096,0.9538199510010263,0.9564586559925203,0.9545321324055392
60,uniform,0.9378571428571428,0.936951205754721,0.9414323468987446,0.9379753385094132
60,distance,0.9414047619047619,0.9405482938297872,0.9446537753349429,0.9415356149598001
60,distance_pow,0.9494523809523809,0.9487010063758304,0.9519502329170251,0.9495261603840452
80,uniform,0.9323095238095238,0.9312924888138843,0.9367595775994662,0.9325268610146608
80,distance,0.9357857142857143,0.9348275900125087,0.9398951761175351,0.9359942642057281
80,distance_pow,0.944952380952381,0.944120241366584,0.9480013127081448,0.9450639487086563
100,uniform,0.9269761904761904,0.9258211602778575,0.9323420218831954,0.9272614618434663
100,distance,0.9311190476190476,0.9300487310996293,0.9359169320459061,0.9313646786114288
100,distance_pow,0.9408095238095238,0.9398771418116563,0.9444855730955083,0.9409877730227443
